"","species","method","sampling","formula_null","loglik_null","npar_null","nobs_null","AICc_null","formula_best","loglik_best","npar_best","nobs_best","AICc_best","deltaAICc"
"35","D. kappleri","camera + observations","Warapata","pa ~ bloque | walk * cam",-29.8689937261406,10,72,83.3445448293304,"pa ~ bsq + dcon | walk * cam",-30.9419322366097,7,72,77.6338644732194,5.710680356111
"36","D. leporina","camera + observations","Warapata","pa ~ bloque | walk + cam",-17.6877687004775,9,72,56.2787632074066,"pa ~ bsq + frs | walk + cam",-9.26885038822762,6,72,31.8300084687629,24.4487547386437
"37","D. marsupialis","camera + observations","Warapata","pa ~ bloque | walk * cam",-2.77259722254802,10,72,29.1517518221452,"pa ~ bsq + frs | walk * cam",-4.37445479627111,7,72,24.4989095925422,4.65284222960302
"38","D. novemcinctus","camera + observations","Warapata","pa ~ bloque | walk + cam",-26.8780983425492,9,72,74.6594224915499,"pa ~ bsq + dcom | walk + cam",-29.1226510678933,6,72,71.5376098280943,3.1218126634556
"39","E. barbara","camera + observations","Warapata","pa ~ bloque | walk + cam",-16.9919613193051,9,72,54.8871484450618,NA,NA,NA,NA,NA,NA
"40","H. hydrochaeris","camera + observations","Warapata","pa ~ bloque | walk + cam",-9.64950850884527,9,72,40.2022428241422,"pa ~ bsq + frs | walk + cam",-10.7926604063834,6,72,34.8776285050746,5.32461431906758
"41","L. pardalis","camera + observations","Warapata","pa ~ bloque | walk + cam",-19.2733082654836,9,72,59.4498423374189,"pa ~ bsq + dcom + dbsq | walk + cam",-20.2505544726873,7,72,56.2511089453746,3.19873339204433
"42","L. rufaxilla","camera + observations","Warapata","pa ~ bloque | walk + cam",-18.2739149014516,9,72,57.4510556093549,NA,NA,NA,NA,NA,NA
"43","L. wiedii","camera + observations","Warapata","pa ~ bloque | walk * cam",-3.49765934118276,10,72,30.6018760594147,"pa ~ bsq + dcom | walk * cam",-5.37212224047648,7,72,26.494244480953,4.10763157846174
"44","M. americana","camera + observations","Warapata","pa ~ bloque | walk * cam",-21.8747588419364,10,72,67.356075060922,"pa ~ bsq + dcon | walk * cam",-20.5460966894497,7,72,56.8421933788995,10.5138816820225
"45","M. gouazoubira","camera + observations","Warapata","pa ~ bloque | walk * cam",-33.7309107899513,10,72,91.0683789569517,"pa ~ bsq + dcom | walk * cam",-33.1657005787445,7,72,82.0814011574891,8.98697779946264
"46","M. tridactyla","camera + observations","Warapata","pa ~ bloque | walk + cam",-31.8774500456,9,72,84.6581258976516,"pa ~ bsq + dcon | walk + cam",-33.6363394344705,6,72,80.5649865612488,4.09313933640286
"47","N. nasua","camera + observations","Warapata","pa ~ bloque | walk * cam",-0.0076163533175225,10,72,23.6217900836842,NA,NA,NA,NA,NA,NA
"48","O. virginianus","camera + observations","Warapata","pa ~ bloque | walk + cam",-7.80331523048112,9,72,36.5098562674139,"pa ~ bsq + dcon | walk + cam",-6.87296431839132,6,72,27.0382363290903,9.47161993832352
"49","P. concolor","camera + observations","Warapata","pa ~ bloque | walk * cam",-15.6021770745359,10,72,54.810911526121,"pa ~ bsq + dbsq | walk * cam",-14.8226540835827,7,72,45.3953081671654,9.41560335895554
"50","P. maximus","camera + observations","Warapata","pa ~ bloque | walk + cam",-9.22401793218757,9,72,39.3512616708268,"pa ~ bsq + dbsq | walk + cam",-12.5118901264106,6,72,38.3160879451289,1.03517372569787
"51","P. onca","camera + observations","Warapata","pa ~ bloque | walk + cam",-15.8337329223908,9,72,52.5706916512333,NA,NA,NA,NA,NA,NA
"52","P. tajacu","camera + observations","Warapata","pa ~ bloque | walk * cam",-7.83962789974818,10,72,39.2858131765455,"pa ~ bsq + dcom | walk * cam",-5.11171507449237,7,72,25.9734301489847,13.3123830275608
"53","T. major","camera + observations","Warapata","pa ~ bloque | walk + cam",-12.6595248409987,9,72,46.222275488449,"pa ~ bsq + dcon + dbsq | walk + cam",-15.0762976976042,7,72,45.9025953952083,0.319680093240649
"54","T. pecari","camera + observations","Warapata","pa ~ bloque | walk + cam",-3.29622206170195,9,72,27.4956699298555,NA,NA,NA,NA,NA,NA
